Company,Year,AI_Score,SDG1_Score,SDG2_Score,SDG3_Score,SDG4_Score,SDG5_Score,SDG6_Score,SDG7_Score,SDG8_Score,SDG9_Score,SDG10_Score,SDG11_Score,SDG12_Score,SDG13_Score,SDG14_Score,SDG15_Score,SDG16_Score,SDG17_Score
jungheinrich,2015,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hornbach,2020,7,1,1,2,2,2,1,2,3,1,1,3,3,2,2,2,1,3
Varta AG,2022,19,3,5,4,2,5,1,3,3,5,1,3,5,3,4,3,6,6
Varta AG,2023,8,10,10,10,4,1,21,11,3,5,1,14,1,6,8,10,9,14
Varta AG,2017,7,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1
Varta AG,2019,9,1,2,1,1,2,1,1,4,2,1,2,3,1,2,2,3,2
Varta AG,2021,10,2,2,3,2,2,1,7,5,2,1,2,3,3,4,3,2,5
Varta AG,2020,10,3,2,2,2,2,1,4,4,6,1,1,5,2,3,4,2,3
Varta AG,2018,9,2,2,2,1,1,1,2,3,4,1,3,3,3,3,3,3,2
Daimler Truck Holding AG,2022,25,4,8,6,9,4,4,15,5,6,6,9,10,5,9,9,4,3
Daimler Truck Holding AG,2023,21,7,9,6,3,2,4,9,2,5,5,9,11,7,8,9,6,3
Daimler Truck Holding AG,2021,13,4,2,1,3,2,8,2,5,2,1,6,1,2,1,3,3,2
Sto SE & Co KgaA,2014,11,2,2,3,5,2,1,9,4,3,2,1,3,3,5,5,4,1
Sto SE & Co KgaA,2022,19,3,3,2,1,5,5,4,2,3,2,11,3,7,6,5,2,2
Sto SE & Co KgaA,2023,13,3,3,5,3,4,6,6,5,3,1,2,5,5,3,1,4,2
Sto SE & Co KgaA,2015,11,4,4,4,5,1,6,7,5,1,5,1,4,2,10,3,6,5
Sto SE & Co KgaA,2017,11,3,5,1,3,2,4,6,1,1,3,1,1,1,4,7,4,9
Sto SE & Co KgaA,2019,17,3,6,1,4,2,5,8,1,1,3,1,1,1,10,9,4,10
Sto SE & Co KgaA,2021,24,3,6,1,4,2,7,8,1,1,5,1,1,1,5,8,4,13
Sto SE & Co KgaA,2020,13,3,6,1,4,2,5,6,1,1,4,1,1,1,5,7,4,11
Sto SE & Co KgaA,2018,16,3,5,1,4,2,4,6,1,1,2,1,1,1,3,6,4,8
Sto SE & Co KgaA,2016,19,3,3,2,2,4,3,3,2,3,3,1,7,3,5,4,6,1
sgl carbon,2016,7,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
Deutsche Telekom,2018,13,2,1,4,4,4,10,11,4,11,2,2,8,11,11,6,6,10
Dr Ing hc F Porsche AG,2022,22,5,6,8,5,2,5,5,2,4,1,6,14,6,6,4,5,6
Dr Ing hc F Porsche AG,2023,27,6,5,2,1,6,4,5,2,5,4,5,13,15,13,4,5,6
Siemens Energy AG,2022,15,1,3,1,2,2,9,4,4,3,3,4,11,3,4,4,6,4
Siemens Energy AG,2023,13,2,3,1,2,3,5,5,1,9,1,4,3,4,3,3,1,5
Siemens Energy AG,2021,18,2,7,2,3,3,7,5,7,5,6,3,8,3,8,5,2,5
Siemens Energy AG,2020,11,1,1,5,2,3,1,1,1,6,1,3,4,3,4,2,2,3
hamborner,2023,7,1,3,3,1,3,2,4,4,2,2,1,1,2,5,1,2,4
MTU Aero Engines AG,2014,8,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
MTU Aero Engines AG,2022,10,2,4,3,1,2,2,5,2,4,3,3,4,2,4,1,1,3
MTU Aero Engines AG,2023,6,3,3,2,2,1,4,4,4,3,3,4,6,3,3,5,1,3
MTU Aero Engines AG,2015,6,2,2,1,1,1,2,1,3,2,1,3,2,1,2,3,1,1
MTU Aero Engines AG,2017,6,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2
MTU Aero Engines AG,2019,7,2,2,1,1,2,2,2,1,5,1,1,3,1,2,2,1,1
MTU Aero Engines AG,2021,11,2,3,2,1,1,2,2,2,2,3,3,2,3,3,6,1,2
MTU Aero Engines AG,2020,7,2,4,3,1,2,3,3,2,2,2,2,3,3,3,2,1,4
MTU Aero Engines AG,2018,6,1,1,1,2,2,1,3,3,1,1,1,2,1,2,1,1,2
MTU Aero Engines AG,2016,6,2,2,1,1,1,3,1,5,3,2,3,3,1,2,3,3,2
Adidas,2018,7,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
Sartorius AG,2014,6,1,3,2,2,2,1,1,1,2,1,3,2,1,3,2,2,2
Sartorius AG,2022,11,3,3,1,1,1,6,1,2,3,3,1,2,1,3,2,1,4
Sartorius AG,2023,11,2,1,1,2,1,4,2,1,2,3,7,4,4,2,2,2,3
Sartorius AG,2015,7,2,3,3,1,1,4,1,1,2,3,2,2,1,3,3,2,2
Sartorius AG,2017,15,2,1,1,5,2,4,2,1,2,2,2,2,2,2,2,2,2
Sartorius AG,2019,11,1,5,4,1,1,2,5,2,3,2,5,7,4,3,2,7,2
Sartorius AG,2021,14,8,7,5,1,1,6,9,2,10,1,6,2,4,7,2,10,7
Sartorius AG,2020,12,7,4,2,1,1,7,8,2,6,1,5,1,3,5,2,9,4
Sartorius AG,2018,12,3,1,1,1,4,5,2,2,3,3,2,1,3,7,2,3,2
Sartorius AG,2016,11,4,5,1,1,1,4,2,4,5,3,2,4,2,5,2,2,3
Covestro AG,2022,8,1,3,9,3,5,8,9,6,10,6,11,15,16,10,4,6,8
Covestro AG,2023,8,1,4,10,7,5,10,11,8,12,4,13,31,8,3,9,5,10
Covestro AG,2015,10,3,2,2,2,3,7,4,8,11,5,3,8,3,8,5,4,5
Covestro AG,2017,11,5,5,3,1,3,8,3,8,7,9,5,13,5,15,4,7,10
Covestro AG,2019,6,4,1,12,2,3,9,5,5,4,5,8,2,2,14,7,6,5
Covestro AG,2021,7,1,5,6,3,4,5,11,10,6,5,14,14,9,26,2,3,9
Covestro AG,2020,16,2,3,8,3,5,3,8,7,9,6,10,1,6,15,2,4,3
Covestro AG,2018,11,2,2,9,2,7,8,4,12,6,9,9,15,6,3,12,8,13
Covestro AG,2016,13,2,3,2,1,1,2,1,6,4,5,5,4,2,7,5,3,4
zalando,2017,10,3,4,2,1,4,5,1,5,2,3,4,8,3,6,6,3,4
zalando,2016,22,1,4,6,3,2,4,2,2,2,2,4,3,1,2,2,3,4
thyssenkrupp,2014,8,2,4,1,3,2,5,1,3,1,3,2,2,3,2,2,2,4
